event_index,country,event,priority,start_year,start_month,end_year,event_type,description,image
11,gtm,Attempted coups to overthrow the president  ,secondary,1989,,,Policy,"The president Cerezo announced his office would focus on ending long-term political turmoil, which led to a more stable economy and decreased violence for a short period of time. However, the military groups who had been governing the country were dissatisfied with his policy changes and made two coup attempts to overthrow his office. The social unrest in Guatemala led residents to flee the country.",
12,nt,Hurricane Mitch displaces millions of families ,primary,1998,October,,Climate change,The deadly storm destroyed hundreds of thousands of homes and caused an estimated $6 billion in damages in Central America. The severe damage in Honduras left nearly half a million people homeless and more residents were left without jobs because the hurricane ravaged the agricultural fields. The extreme poverty brought on by the storm initiated a mass migration north from Honduras.,12-mitchnt.png
13,slv,"Earthquakes and land slides wreak havoc 
",secondary,2001,January,,Climate change,"A massive earthquake and its aftershocks killed more than 1,200 people. The country suffered extensive damage to their water and sanitation infrastructure, destroyed more than 100,000 homes, rendered one million homeless.",
14,nt,Central America agrees on free trade agreement with United States  ,secondary,2003,December,,Economics,"The purpose of the agreement was to eliminate tariffs and trade barriers to create more economic opportunities, higher wages and better working conditions in Guatemala, El Salvador and Honduras. However, the smallholder farmers in Central America were forced to compete with the highly subsidized American agricultural sector, which further increased poverty levels in the rural regions of the Dry Corridor.",
15,slv,"Border dispute with Honduras ends  
",secondary,2006,April,,Policy,The dispute between El Salvador and Honduras about their border finally comes to a close. ,
16,nt,Border control agreement established between northern countries in Central America,secondary,2006,June,,Policy,"Guatemala, El Salvador, and Honduras agree to a border control agreement, which allows its citizens to move freely across borders without needing to obtain permits or undergo checks. This agreement made human smuggling and drug trafficking easier, becuase cartels can get around price controls and taxes.",
17,hnd,"Honduras joins lefist alliance with Venezuela 
",secondary,2008,August,,Policy,"Honduras joins an alliance with leftist leaders founded by Cuba and Venuzuelan. The organization is often described as socialist or social democratic, causing friction with the United States. The Honduran president cites a lack of international support to tackle chronic poverty forced him to seek aid from ALBA.",
18,hnd,"Aid programs from the United States resumes 
",primary,2010,March,,Policy,The country sees aid programs from United States start back up again after the presidents is democratically elected. ,
19,hnd,"Honduras works with Mexico to prevent attacks on immigrants 
",secondary,2010,December,,Policy,"Honduras works with Mexico to prevent the attacks on illegal immigrants, who are often kidnapped on their journey to the United States. ",
20,hnd,"Land occupations by rural workers 
",secondary,2012,April,,Economics,"Thousands of rural workers, often poor or small farmers, coordinated land invasions as a  protest against large landowners and the government. The workers argue that they took over public lands and have a right to grow crops. These land occupations indicate the level of poverty and food insecurity amongst farmers.",
21,hnd,"Truce between street gangs last one year 
",secondary,2012,May,,Violence,"The two notorious street gangs in Honduras, called the Mara Salvatrucha and the Mara Dieciocho, promise to end violence by agreeing to a truce. The violence has claimed tens of thousands of lives. ",
22,slv,"Truce amongst violent gangs 
",secondary,2013,April,,Violence,"The most powerful street gangs in El Salvador commit to a year-long truce, which the government argues has saved thousands of lives. However, after the truce is broken in 2015, the country saw a spike in violence, calling March the deadliest month in a decade. ",
23,nt,United States speeds up deportations  ,primary,2014,June,,Policy,"The United States provided approximately $375 million dollars in aid as a response to the growing number of unaccompanied minors and families arriving at the border from Central America. The aid package was largely spent on drug interdiction and security forces against gang violence rather than economic development within El Salvador, Guatemala, and Honduras.",23-deportationsnt.jpeg
24,nt,Five year drought disrupts the agricultural sector  ,primary,2014,October,2019,Climate change,"The climate disaster increased food insecurity amongst farmers, who make up as much as thirty percent of the population in Central America. The long-term dry spell, in conjunction with the outbreak of coffee rust disease, led to significant crop losses which forced farmers to abandon agriculture and migrate to survive. In 2017, more than fifty percent of the migrants apprehended at the Mexico border worked in the agricultural sector.",24-droughtnt.jpg
25,nt,Central America sets up task force  ,primary,2016,November,,Violence,"The cross-border agreement operated along nearly 400 miles of border territory between El Salvador, Guatemala, and Honduras to reduce gang activity, drug trafficking and human smuggling. The increase of law enforcement diverted migrants to take dangerous routes, where criminal gangs and corrupt officials require them to pay larger sums of money to avoid detention.",25-taskforcent.jpg
26,gtm,Migration agreement between US and Guatemala  ,primary,2019,July,,Policy,"The United States and Guatemala signed a migration agreement, which required migrants from El Salvador and Honduras to seek asylum in the country first. The hope for the US was that the number of migrants getting to the border would slow and, therefore, threatened Guatemala with tariffs if the military groups did not comply.",26-agreementgtm.jpg
27,nt,Tropical Storm Amanda compounds effects of Covid-19  ,primary,2020,May,,Climate change,"The heavy rainfall caused flash floods, landslides, and power outages throughout Central America, destroying 900 homes and displacing more than 7,000 people in El Salvador alone. Vulnerable families were already facing economic uncertainty due to the Covid-19 pandemic and the storm pushed approximately 350,000 people into severe food insecurity in both rural and urban regions in El Salvador.",27-amandant.jpg
28,nt,"Hurricane Iota and Eta endangers vulnerable communities 
",secondary,2020,November,,Climate change,"The back-to-back hurricanes impacted more than 7.5 million people and displaced hundreds of thousands of residents. The United States and other countries sent donations to Central America, however the second hurricane significantly hampered the relief efforts and worsened the impact of the disaster in Honduras.",
29,gtm,"Protests over government’s negligence about poverty 
",secondary,2020,November,,Policy,"A recent bill proposed to reduce funding for programs combating malnutrition and slash funding to the judiciary. The protesters argued the government neglected to address ongoing poverty, especially during the Covid-19 pandemic. They burned the Congress building after clashes with police as a sign of public anger at a budget proposal.",
