event_index,country,event,priority,start_year,start_month,end_year,event_type,description,image
13,nt,Centroamérica Entra al Acuerdo de Libre Comercio con Estados Unidos,secondary,2003,Diciembre,,Economía,"Este acuerdo comercial tenía la intención de eliminar los aranceles y las barreras comerciales para estimular las oportunidades económicas, los salarios más altos y mejorar las condicones laborales en Guatemala, El Salvador y Honduras. Sin embargo, los pequeños agricultores en América Central se vieron obligados a competir con el sector agrícola estadounidense altamente subsidiado, esto exacerbó los niveles de pobreza en las regiones rurales del corredor seco.",
14,hnd-slv,Disputa Fronteriza con Honduras Termina,secondary,2006,Abril,,Políticas Públicas,La disputa de dos siglos entre El Salvador y Honduras sobre su frontera finalmente llega a su fin.,
15,nt,Control Fronterizo Entre Países Centroamericanos,secondary,2006,Junio,,Políticas Públicas,"Guatemala, El Salvador y Honduras firman a un acuerdo de control fronterizo, que permite a los ciudadanos moverse libremente a través de las fronteras sin necesidad de obtener permisos o someterse a revisiones. Este acuerdo facilitó el tráfico de personas y el contrabando de drogas, lo que permitió a los cárteles eludir los controles de precios y los impuestos.",
16,hnd,Honduras se Une a la Alianza de Izquierda con Venezuela,secondary,2008,Agosto,,Políticas Públicas,"Honduras se une a una alianza fundada por los líderes izquierdistas de Cuba y Venezuela. La organización se describe a menudo como socialista o socialdemócrata, causando fricción con los Estados Unidos. El presidente hondureño citó la falta de apoyo internacional para abordar la pobreza crónica como razones para buscar esta ayuda.",
17,hnd,Programas de Ayuda Hondureña de los Estados Unidos,primary,2010,Marzo,,Políticas Públicas,Los Estados Unidos reanudan los programas de ayuda después de que el presidente hondureño fue elegido democráticamente.,
18,hnd,Honduras trabaja con México para prevenir los ataques a los inmigrantes,secondary,2010,Diciembre,,Políticas Públicas,"Honduras trabaja con México para prevenir los ataques a inmigrantes ilegales, que a menudo son secuestrados en su viaje a los Estados Unidos.",
19,hnd,Trabajadores Rurales Hondureños Protestan Contra la Pobreza,primary,2012,Abril,,Inseguridad Alimentaria,"Miles de trabajadores rurales, a menudo de escazos recursos o pequeños agricultores, invadieron tierras como parte de una protesta contra los grandes terratenientes y el gobierno. Los trabajadores afirman que estos terratenientes se hicieron de tierras públicas, en las que tienen derecho a cultivar. Estas ocupaciones de tierras indican la gravedad de la pobreza y la inseguridad alimentaria entre los agricultores.",
20,hnd,Pandillas Hondureñas llaman a una Tregua de Un Año,secondary,2012,Mayo,,Violencia,"Las dos pandillas mas importantes en Honduras, llamadas Mara Salvatrucha y Mara Dieciocho, prometen poner fin a la violencia al aceptar una tregua. La violencia ha reclamado decenas de miles de vidas.",
21,slv,La Violencia Continúa en El Salvador Después de una Tregua Entre Pandillas,secondary,2013,Abril,,Violencia,"Las pandillas callejeras más poderosas de El Salvador se comprometen a una tregua de un año que, según el gobierno, ha salvado miles de vidas. Sin embargo, después de que la tregua se rompe en 2015, el país vio un pico en violencia, llamando al mes más mortal en una década.",
22,nt,Estados Unidos Acelera las Deportaciones Centroamericanas,primary,2014,Junio,,Políticas Públicas,"Los Estados Unidos proporcionaron aproximadamente $375 millones de dólares en ayuda como respuesta al creciente número de menores y familias no acompañadas que llegan a la frontera de América Central. El paquete de ayuda se destinó, en gran medida, a la intercepción de drogas y a las fuerzas de seguridad contra la violencia de pandillas en El Salvador, Guatemala y Honduras.",22-deportationsnt.jpeg
23,nt,Una Sequía de Cinco Años Impacta el Sector Agrícola,primary,2014,Octubre,2019,Clima e Inseguridad Alimentaria,"Este desastre natural aumentó la inseguridad alimentaria entre los agricultores, que comprende hasta el treinta por ciento de la población en centroamerica. Este fenómeno seco a largo plazo los cultivos, en conjunto con el estallido de la enfermedad del óxido de café, llevando a pérdidas significativas de cultivos y obligando a los agricultores a abandonar la agricultura y recurrir a la migración. En 2017, más del cincuenta por ciento de los migrantes detenidos en la frontera de México trabajaban en el sector agrícola.",23-droughtnt.jpg
24,nt,América Central Establece un Grupo de Trabajo para Reducir la Actividad de Pandillas,primary,2016,Noviembre,,Violencia,"El acuerdo transfronterizo opera a lo largo de casi 400 millas de territorio fronterizo entre El Salvador, Guatemala y Honduras para reducir la actividad de pandillas, el narcotráfico y el tráfico de personas. Este aumento en la aplicación de la ley desvió a los migrantes a tomar rutas peligrosas, donde las pandillas criminales y los funcionarios corruptos requerían a los migrantes pagar sumas de dinero más altas para evitar la detención.",24-taskforcent.jpg
25,gtm,Acuerdo de Migración entre Guatemala y EE. UU.,primary,2019,Julio,,Políticas Públicas,"Guatemala y Estados Unidos firman un acuerdo de migración, que requirió a los migrantes de El Salvador y Honduras buscar asilo primero en Guatemala. Esta política pretendía que el número de migrantes que llegan a la frontera disminuiría y, por lo tanto, amenazó a Guatemala con imponer aranceles si los grupos militares no cumplían.",25-agreementgtm.jpg
26,nt,La Tormenta Tropical Amanda Añade a los Desafíos del COVID-19,primary,2020,Mayo,,Clima,"Las fuertes lluvias causaron inundaciones, deslizamientos de tierra y cortes de energía en centroamérica, destruyendo 900 hogares y desplazando a más de 7,000 personas solo en El Salvador. Las familias más vulnerables ya se enfrentaban a la incertidumbre económica debido a la pandemia de COVID-19. La tormenta impulsó a aproximadamente 350,000 personas hacia una inseguridad alimentaria severa tanto en regiones rurales como urbanas de El Salvador.",26-amandant.jpg
27,nt,Los Huracanes Eta y Iota Ponen en Peligro a las Comunidades Vulnerables,secondary,2020,Noviembre,,Clima,"Los huracanes atravesaron asentamientos con poblaciones de más de 7,5 millones de personas y desplazaron a cientos de miles de ciudadanos. Los Estados Unidos y otros países enviaron donaciones a centroamérica; Sin embargo, el segundo huracán obstaculizó significativamente los esfuerzos de alivio inicial y empeoró el impacto en el desastre previo en Honduras.",
28,gtm,Protestas sobre Negligencia del Gobierno en la Creciente Pobreza,secondary,2020,Noviembre,,Políticas Públicas,"Un nuevo proyecto de ley en Guatemala propuso reducir la financiación para los programas que combatían la desnutrición. Los manifestantes argumentaron que el gobierno descuidó abordar la pobreza, especialmente durante la pandemia de COVID-19. Después de enfrentamientos con la policía, los manifestantes quemaron el edificio del Congreso como una señal de ira pública sobre una propuesta de presupuesto.",
